WP          ,WN          ,LP          ,LN          ,Delay       ,Energy      ,NM          ,Norm Delay  ,Norm Energy ,1/NM        
2.000000e-06,2.000000e-07,6.000000e-08,9.000000e-08,7.854507e-08,2.058330e-15,9.112212e-02,1.397068e-01,1.395825e-01,1.646143e-01
2.063246e-06,2.000000e-07,6.000000e-08,9.000000e-08,7.870855e-08,2.065456e-15,9.066430e-02,1.401304e-01,1.413640e-01,1.654455e-01
2.000000e-06,2.063246e-07,6.000000e-08,9.000000e-08,7.861746e-08,2.058975e-15,9.104446e-02,1.399530e-01,1.397437e-01,1.647547e-01
2.000000e-06,2.000000e-07,6.189737e-08,9.000000e-08,7.853344e-08,2.056153e-15,9.253326e-02,1.397040e-01,1.390381e-01,1.621039e-01
2.000000e-06,2.000000e-07,6.000000e-08,9.284605e-08,7.750950e-08,2.062149e-15,9.151157e-02,1.385966e-01,1.405374e-01,1.639137e-01
2.000000e-06,2.000000e-07,1.200000e-07,1.200000e-07,6.909715e-08,2.053063e-15,1.102403e-01,1.291596e-01,1.382658e-01,1.360663e-01
2.063246e-06,2.000000e-07,1.200000e-07,1.200000e-07,6.923098e-08,2.060076e-15,1.097913e-01,1.295654e-01,1.400191e-01,1.366228e-01
2.000000e-06,2.063246e-07,1.200000e-07,1.200000e-07,6.945100e-08,2.053620e-15,1.100898e-01,1.298228e-01,1.384049e-01,1.362524e-01
2.000000e-06,2.000000e-07,1.237947e-07,1.200000e-07,6.909721e-08,2.053630e-15,1.104253e-01,1.291868e-01,1.384076e-01,1.358384e-01
2.000000e-06,2.000000e-07,1.200000e-07,1.237947e-07,6.810003e-08,2.049909e-15,1.105638e-01,1.282112e-01,1.374773e-01,1.356683e-01
9.708571e-07,8.000000e-08,1.062921e-07,1.200000e-07,5.537677e-08,1.930967e-15,1.224168e-01,9.785656e-02,1.077417e-01,1.225322e-01
1.001558e-06,8.000000e-08,1.062921e-07,1.200000e-07,5.389328e-08,1.934186e-15,1.228764e-01,9.529829e-02,1.085464e-01,1.220739e-01
9.708571e-07,8.252982e-08,1.062921e-07,1.200000e-07,5.537600e-08,1.930496e-15,1.228510e-01,9.785974e-02,1.076241e-01,1.220991e-01
