WP          ,WN          ,LP          ,LN          ,Delay       ,Energy      ,NM          ,Norm Delay  ,Norm Energy ,1/NM        
2.978510e-06,1.309769e-06,8.158600e-08,8.000000e-08,1.562100e-08,2.392744e-15,1.215304e-01,2.609930e-02,5.920670e-01,7.405552e-01
2.978510e-06,1.309769e-06,7.908511e-08,8.252982e-08,1.542184e-08,2.391254e-15,1.222441e-01,2.541724e-02,5.916887e-01,7.362321e-01
2.977189e-06,1.306690e-06,7.905386e-08,8.000000e-08,1.542453e-08,2.394100e-15,1.217498e-01,2.542647e-02,5.924112e-01,7.392208e-01
2.978389e-06,1.309461e-06,7.908198e-08,8.000000e-08,1.542209e-08,2.394653e-15,1.217387e-01,2.541813e-02,5.925514e-01,7.392883e-01
2.978498e-06,1.309738e-06,7.908480e-08,8.000000e-08,1.542189e-08,2.387593e-15,1.217375e-01,2.541745e-02,5.907598e-01,7.392954e-01
3.072687e-06,1.309738e-06,7.908480e-08,8.000000e-08,1.497359e-08,2.406016e-15,1.222133e-01,2.388216e-02,5.954356e-01,7.364173e-01
2.978498e-06,1.351156e-06,7.908480e-08,8.000000e-08,1.544031e-08,2.400476e-15,1.215276e-01,2.548053e-02,5.940294e-01,7.405724e-01
2.978498e-06,1.309738e-06,8.158568e-08,8.000000e-08,1.562102e-08,2.392738e-15,1.215306e-01,2.609937e-02,5.920655e-01,7.405545e-01
2.978498e-06,1.309738e-06,7.908480e-08,8.252982e-08,1.542186e-08,2.391248e-15,1.222442e-01,2.541731e-02,5.916873e-01,7.362313e-01
2.978486e-06,1.309707e-06,7.908448e-08,8.000000e-08,1.542191e-08,2.387587e-15,1.217377e-01,2.541752e-02,5.907580e-01,7.392946e-01
3.072674e-06,1.309707e-06,7.908448e-08,8.000000e-08,1.497361e-08,2.406010e-15,1.222135e-01,2.388223e-02,5.954341e-01,7.364165e-01
2.978486e-06,1.351124e-06,7.908448e-08,8.000000e-08,1.544033e-08,2.400470e-15,1.215277e-01,2.548060e-02,5.940280e-01,7.405717e-01
2.978486e-06,1.309707e-06,8.158535e-08,8.000000e-08,1.562104e-08,2.392732e-15,1.215307e-01,2.609944e-02,5.920640e-01,7.405537e-01
2.978486e-06,1.309707e-06,7.908448e-08,8.252982e-08,1.542188e-08,2.391242e-15,1.222443e-01,2.541738e-02,5.916858e-01,7.362305e-01
2.978474e-06,1.309677e-06,7.908417e-08,8.000000e-08,1.542194e-08,2.387580e-15,1.217378e-01,2.541759e-02,5.907563e-01,7.392938e-01
3.072662e-06,1.309677e-06,7.908417e-08,8.000000e-08,1.497363e-08,2.406005e-15,1.222136e-01,2.388229e-02,5.954326e-01,7.364156e-01
2.978474e-06,1.351092e-06,7.908417e-08,8.000000e-08,1.544035e-08,2.400465e-15,1.215279e-01,2.548067e-02,5.940267e-01,7.405709e-01
