WP          ,WN          ,LP          ,LN          ,Delay       ,Energy      ,NM          ,Norm Delay  ,Norm Energy ,1/NM        
2.568544e-06,6.027913e-07,7.344463e-08,8.000000e-08,3.199349e-08,2.522233e-15,1.284040e-01,8.216950e-02,6.249323e-01,7.009129e-01
2.568544e-06,6.027913e-07,7.119330e-08,8.252982e-08,3.212063e-08,2.523861e-15,1.276999e-01,8.260489e-02,6.253454e-01,7.047776e-01
3.394147e-07,7.025698e-07,7.607447e-08,7.803098e-08,1.307550e-07,2.087664e-15,9.387592e-02,4.203939e-01,5.146356e-01,9.587123e-01
2.194585e-06,6.198795e-07,7.199942e-08,7.964822e-08,3.089954e-08,2.449145e-15,1.265748e-01,7.842308e-02,6.063821e-01,7.110419e-01
2.263984e-06,6.198795e-07,7.199942e-08,7.964822e-08,3.101512e-08,2.463535e-15,1.269631e-01,7.881891e-02,6.100344e-01,7.088672e-01
2.194585e-06,6.394819e-07,7.199942e-08,7.964822e-08,3.059650e-08,2.459999e-15,1.264102e-01,7.738526e-02,6.091368e-01,7.119680e-01
2.194585e-06,6.198795e-07,7.427624e-08,7.964822e-08,3.089889e-08,2.447161e-15,1.263521e-01,7.842086e-02,6.058784e-01,7.122951e-01
2.194585e-06,6.198795e-07,7.199942e-08,8.216691e-08,3.100358e-08,2.447495e-15,1.267292e-01,7.877939e-02,6.059632e-01,7.101760e-01
1.982443e-06,5.542947e-07,7.173508e-08,8.000000e-08,3.251407e-08,2.387571e-15,1.260659e-01,8.395231e-02,5.907539e-01,7.139124e-01
2.045133e-06,5.542947e-07,7.173508e-08,8.000000e-08,3.294266e-08,2.410366e-15,1.263966e-01,8.542007e-02,5.965396e-01,7.120443e-01
1.982443e-06,5.718231e-07,7.173508e-08,8.000000e-08,3.194120e-08,2.391693e-15,1.258177e-01,8.199041e-02,5.918002e-01,7.153204e-01
1.982443e-06,5.542947e-07,7.400354e-08,8.000000e-08,3.251295e-08,2.387581e-15,1.256886e-01,8.394847e-02,5.907566e-01,7.160553e-01
1.982443e-06,5.542947e-07,7.173508e-08,8.252982e-08,3.291449e-08,2.393039e-15,1.261810e-01,8.532361e-02,5.921418e-01,7.132614e-01
1.639022e-06,5.459947e-07,7.134465e-08,7.677999e-08,3.219335e-08,2.324096e-15,1.220707e-01,8.285395e-02,5.746437e-01,7.372777e-01
1.833886e-06,5.510929e-07,7.157148e-08,7.860076e-08,3.233683e-08,2.359222e-15,1.242154e-01,8.334531e-02,5.835590e-01,7.245476e-01
1.919828e-06,5.530160e-07,7.166708e-08,7.940905e-08,3.242261e-08,2.376560e-15,1.253654e-01,8.363907e-02,5.879595e-01,7.179016e-01
1.955042e-06,5.537477e-07,7.170549e-08,7.974118e-08,3.248230e-08,2.385651e-15,1.258123e-01,8.384349e-02,5.902668e-01,7.153512e-01
1.972070e-06,5.540900e-07,7.172390e-08,7.990198e-08,3.250186e-08,2.383752e-15,1.260124e-01,8.391049e-02,5.897848e-01,7.142155e-01
2.034432e-06,5.540900e-07,7.172390e-08,7.990198e-08,3.260759e-08,2.401051e-15,1.263364e-01,8.427258e-02,5.941754e-01,7.123835e-01
1.972070e-06,5.716118e-07,7.172390e-08,7.990198e-08,3.195238e-08,2.388345e-15,1.256864e-01,8.202871e-02,5.909506e-01,7.160682e-01
