WP          ,WN          ,LP          ,LN          ,rise        ,fall        ,pwr         ,-NM_h       ,-NM_l       
8.592042e-06,1.200000e-05,3.950284e-08,1.200442e-07,1.370981e-09,1.586891e-09,3.942972e-06,1.183835e-01,1.237223e-01,4.813899e-01,1.591732e-01,-4.124077e-01
8.592313e-06,1.200000e-05,3.950284e-08,1.200442e-07,1.370947e-09,1.586902e-09,3.943097e-06,1.183829e-01,1.237229e-01,4.813939e-01,1.591783e-01,-4.124097e-01
8.592042e-06,1.200038e-05,3.950284e-08,1.200442e-07,1.370990e-09,1.586860e-09,3.942978e-06,1.183840e-01,1.237219e-01,4.813788e-01,1.591735e-01,-4.124062e-01
8.592042e-06,1.200000e-05,3.950284e-08,1.200480e-07,1.370981e-09,1.586932e-09,3.942970e-06,1.183827e-01,1.237232e-01,4.814045e-01,1.591732e-01,-4.124106e-01
8.592042e-06,1.200000e-05,3.950409e-08,1.200442e-07,1.371212e-09,1.586890e-09,3.942260e-06,1.183889e-01,1.237182e-01,4.813897e-01,1.591443e-01,-4.123941e-01
7.395983e-06,1.200000e-05,3.987928e-08,1.163926e-07,1.624815e-09,1.449627e-09,3.219009e-06,1.233273e-01,1.192180e-01,5.002915e-01,1.297439e-01,-4.110911e-01
8.047404e-06,1.200000e-05,3.967440e-08,1.183982e-07,1.477536e-09,1.527287e-09,3.603381e-06,1.207161e-01,1.216113e-01,4.601028e-01,1.453687e-01,-4.053709e-01
8.047658e-06,1.200000e-05,3.967440e-08,1.183982e-07,1.477499e-09,1.527297e-09,3.603495e-06,1.207156e-01,1.216117e-01,4.601064e-01,1.453734e-01,-4.053725e-01
8.047404e-06,1.200038e-05,3.967440e-08,1.183982e-07,1.477546e-09,1.527256e-09,3.603387e-06,1.207164e-01,1.216109e-01,4.600919e-01,1.453690e-01,-4.053696e-01
8.047404e-06,1.200000e-05,3.967440e-08,1.184020e-07,1.477535e-09,1.527371e-09,3.603381e-06,1.207152e-01,1.216123e-01,4.601327e-01,1.453687e-01,-4.053744e-01
8.047404e-06,1.200000e-05,3.967565e-08,1.183982e-07,1.477783e-09,1.527287e-09,3.602737e-06,1.207198e-01,1.216080e-01,4.601027e-01,1.453425e-01,-4.053600e-01
7.328989e-06,1.200000e-05,3.988545e-08,1.139361e-07,1.639022e-09,1.392907e-09,3.187281e-06,1.242897e-01,1.180505e-01,5.053652e-01,1.284541e-01,-4.142990e-01
7.837642e-06,1.200000e-05,3.973458e-08,1.170828e-07,1.521196e-09,1.483857e-09,3.479971e-06,1.216211e-01,1.207362e-01,4.632846e-01,1.403521e-01,-4.054035e-01
7.959233e-06,1.200000e-05,3.969956e-08,1.178441e-07,1.495599e-09,1.516903e-09,3.551316e-06,1.210835e-01,1.212326e-01,4.563942e-01,1.432523e-01,-4.041087e-01
7.959485e-06,1.200000e-05,3.969956e-08,1.178441e-07,1.495561e-09,1.516915e-09,3.551427e-06,1.210830e-01,1.212331e-01,4.563985e-01,1.432568e-01,-4.041102e-01
7.959233e-06,1.200038e-05,3.969956e-08,1.178441e-07,1.495609e-09,1.516874e-09,3.551322e-06,1.210839e-01,1.212323e-01,4.563840e-01,1.432525e-01,-4.041075e-01
