WP          ,WN          ,LP          ,LN          ,Delay       ,Energy      ,NM          ,Norm Delay  ,Norm Energy ,1/NM        
2.106856e-06,1.739800e-07,7.902751e-08,8.000000e-08,1.269875e-06,2.382184e-15,1.290232e-01,4.321490e+00,5.893867e-01,6.975489e-01
2.042274e-06,1.794817e-07,7.902751e-08,8.000000e-08,1.270460e-06,2.368180e-15,1.295162e-01,4.323492e+00,5.858325e-01,6.948939e-01
2.042274e-06,1.739800e-07,8.152658e-08,8.000000e-08,1.270697e-06,2.366038e-15,1.294370e-01,4.324303e+00,5.852888e-01,6.953192e-01
2.042274e-06,1.739800e-07,7.902751e-08,8.252982e-08,1.270451e-06,2.366568e-15,1.298360e-01,4.323462e+00,5.854234e-01,6.931819e-01
2.005577e-06,1.647414e-07,7.900638e-08,8.000000e-08,1.270773e-06,2.357055e-15,1.296115e-01,4.324565e+00,5.830090e-01,6.943829e-01
2.068999e-06,1.647414e-07,7.900638e-08,8.000000e-08,1.270188e-06,2.370444e-15,1.290051e-01,4.322562e+00,5.864070e-01,6.976467e-01
2.005577e-06,1.699510e-07,7.900638e-08,8.000000e-08,1.270783e-06,2.357090e-15,1.295356e-01,4.324599e+00,5.830178e-01,6.947896e-01
2.005577e-06,1.647414e-07,8.150478e-08,8.000000e-08,1.271024e-06,2.355589e-15,1.294499e-01,4.325425e+00,5.826368e-01,6.952497e-01
2.005577e-06,1.647414e-07,7.900638e-08,8.252982e-08,1.270775e-06,2.356545e-15,1.298416e-01,4.324571e+00,5.828795e-01,6.931522e-01
1.966378e-06,1.574226e-07,7.898315e-08,8.000000e-08,1.271138e-06,2.346857e-15,1.296569e-01,4.325814e+00,5.804207e-01,6.941395e-01
2.028561e-06,1.574226e-07,7.898315e-08,8.000000e-08,1.270540e-06,2.361323e-15,1.290844e-01,4.323769e+00,5.840921e-01,6.972184e-01
1.966378e-06,1.624007e-07,7.898315e-08,8.000000e-08,1.271147e-06,2.345653e-15,1.294540e-01,4.325847e+00,5.801151e-01,6.952275e-01
1.966378e-06,1.574226e-07,8.148082e-08,8.000000e-08,1.271393e-06,2.344842e-15,1.293637e-01,4.326689e+00,5.799091e-01,6.957132e-01
1.966378e-06,1.574226e-07,7.898315e-08,8.252982e-08,1.271139e-06,2.346518e-15,1.297454e-01,4.325819e+00,5.803344e-01,6.936661e-01
1.912466e-06,1.389050e-07,7.893888e-08,8.000000e-08,1.271646e-06,2.327856e-15,1.294416e-01,4.327555e+00,5.755979e-01,6.952942e-01
1.972944e-06,1.389050e-07,7.893888e-08,8.000000e-08,1.271032e-06,2.342237e-15,1.288438e-01,4.325453e+00,5.792479e-01,6.985201e-01
1.912466e-06,1.432976e-07,7.893888e-08,8.000000e-08,1.271655e-06,2.330524e-15,1.296359e-01,4.327586e+00,5.762752e-01,6.942521e-01
